STT,Tên trường,Loại điều khiển,Danh sách,Bộ lọc,Xem chi tiết,Tạo mới,Sửa
TAB 1,Thông tin chung,,FALSE,FALSE,FALSE,FALSE,FALSE
1,Mã khu chuyển tải,"Input (disabled, tự sinh {mã cảng biển}-CT-{seq})",TRUE,TRUE,TRUE,TRUE,TRUE
2,Tên khu chuyển tải (bắt buộc),InputTextArea,TRUE,TRUE,TRUE,TRUE,TRUE
3,Đơn vị quản lý (bắt buộc),SelectOrgCode,TRUE,TRUE,TRUE,TRUE,TRUE
4,Thuộc cảng biển (bắt buộc khi tạo),SelectKcht (CB),TRUE,TRUE,TRUE,TRUE,TRUE
5,Địa điểm (Tỉnh/TP) (bắt buộc),SelectCateOther,TRUE,FALSE,TRUE,TRUE,TRUE
6,Địa điểm chi tiết,InputTextArea,FALSE,FALSE,TRUE,TRUE,TRUE
7,Công năng khai thác (bắt buộc),SelectAppParams (multi-select),TRUE,TRUE,TRUE,TRUE,TRUE
8,Tình trạng (bắt buộc),SelectAppParams,TRUE,TRUE,TRUE,TRUE,TRUE
,Thông tin kỹ thuật,,FALSE,FALSE,TRUE,TRUE,TRUE
9,Hình dạng,InputTextArea,FALSE,FALSE,TRUE,TRUE,TRUE
10,Diện tích (ha),InputDecimal,FALSE,FALSE,TRUE,TRUE,TRUE
11,Độ sâu khu nước theo thiết kế (m),Input,FALSE,FALSE,TRUE,TRUE,TRUE
12,Độ sâu khu nước hiện tại (m),Input,FALSE,FALSE,TRUE,TRUE,TRUE
13,Cao độ đáy bến thiết kế,Input,FALSE,FALSE,TRUE,TRUE,TRUE
14,Cỡ tàu khai thác theo công bố (DWT),Input,FALSE,FALSE,TRUE,TRUE,TRUE
15,Số lượng khu chuyển tải đang khai thác,Input,FALSE,FALSE,TRUE,TRUE,TRUE
16,Số lượng khu chuyển tải đã công bố,Input,FALSE,FALSE,TRUE,TRUE,TRUE
17,Số lượng khu chuyển tải đang được thỏa thuận đầu tư xây dựng,Input,FALSE,FALSE,TRUE,TRUE,TRUE
18,Ghi chú,InputTextArea,FALSE,FALSE,TRUE,TRUE,TRUE
,"Thông tin công bố mở, đưa vào sử dụng",,FALSE,FALSE,FALSE,FALSE,FALSE
19,Thời điểm công bố mở, đưa ra sử dụng,DatePicker,FALSE,FALSE,TRUE,TRUE,TRUE
20,Quyết định công bố / VB cho phép khai thác,InputTextArea,FALSE,FALSE,TRUE,TRUE,TRUE
21,Văn bản thỏa thuận đầu tư xây dựng,InputTextArea,FALSE,FALSE,TRUE,TRUE,TRUE
,Thời gian hoạt động,,FALSE,FALSE,TRUE,TRUE,TRUE
22,Thời gian hoạt động (Từ ngày),DatePicker,FALSE,FALSE,TRUE,TRUE,TRUE
23,Thời gian hoạt động (Đến ngày),DatePicker,FALSE,FALSE,TRUE,TRUE,TRUE
,Danh sách khu nước neo buộc tàu (bảng con),,FALSE,FALSE,TRUE,FALSE,FALSE
24,Phạm vi khu nước neo buộc tàu,Text,FALSE,FALSE,TRUE,TRUE,TRUE
,Vị trí cụ thể điểm neo (hiển thị khi thêm mới thông tin khu nước neo buộc tàu):,,FALSE,FALSE,TRUE,TRUE,TRUE
25,Loại đối tượng,Select (Điểm/Đường/Vùng),FALSE,FALSE,TRUE,TRUE,TRUE
26,Biểu tượng,Select,FALSE,FALSE,TRUE,TRUE,TRUE
27,Hệ quy chiếu,Text,FALSE,FALSE,TRUE,TRUE,TRUE
28,Quy tắc hiển thị,Text,FALSE,FALSE,TRUE,TRUE,TRUE
29,Điểm neo (hiển thị khi thêm mới thông tin khu nước neo buộc tàu):,"Bảng con (Tên điểm neo, tọa độ GIS)",FALSE,FALSE,TRUE,TRUE,TRUE
TAB 2,Vị trí (GIS),,FALSE,FALSE,TRUE,TRUE,TRUE
30,Loại đối tượng,Select (Điểm/Đường/Vùng),FALSE,FALSE,TRUE,TRUE,TRUE
31,Biểu tượng,Select,FALSE,FALSE,TRUE,TRUE,TRUE
32,Hệ quy chiếu,Text,FALSE,FALSE,TRUE,TRUE,TRUE
33,Quy tắc hiển thị,Text,FALSE,FALSE,TRUE,TRUE,TRUE
34,Tọa độ,LongLatTable,FALSE,FALSE,TRUE,TRUE,TRUE
TAB 3,File đính kèm,,FALSE,FALSE,FALSE,FALSE,FALSE
35,File đính kèm,UploadFileTable,FALSE,FALSE,TRUE,TRUE,TRUE
TAB 4,Vận hành & bảo trì,,FALSE,FALSE,FALSE,FALSE,FALSE
,Thông tin vận hành khai thác,,FALSE,FALSE,TRUE,FALSE,FALSE
36,Mã kế hoạch,Text (read-only),FALSE,FALSE,TRUE,FALSE,FALSE
37,Tên kế hoạch,Text (read-only),FALSE,FALSE,TRUE,FALSE,FALSE
38,Ngày bắt đầu,Text (read-only),FALSE,FALSE,TRUE,FALSE,FALSE
39,Ngày kết thúc,Text (read-only),FALSE,FALSE,TRUE,FALSE,FALSE
,Thông tin bảo trì,,FALSE,FALSE,TRUE,FALSE,FALSE
40,Mã kế hoạch,Text (read-only),FALSE,FALSE,TRUE,FALSE,FALSE
41,Tên kế hoạch,Text (read-only),FALSE,FALSE,TRUE,FALSE,FALSE
42,Thời gian bắt đầu,Text (read-only),FALSE,FALSE,TRUE,FALSE,FALSE
43,Thời gian kết thúc,Text (read-only),FALSE,FALSE,TRUE,FALSE,FALSE
,Thông tin sự cố,,FALSE,FALSE,TRUE,FALSE,FALSE
44,Mã sự cố,Text (read-only),FALSE,FALSE,TRUE,FALSE,FALSE
