GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.accesslog.dto,AccessLogFilterRequest,38,0,0,0,11,0,11,0,11,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.accesslog.dto,AccessLogResponse,80,0,0,0,24,0,12,0,12,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.lockout.exception,AccountLockedException,4,0,0,0,2,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.lockout.exception,LockoutPolicyNotFoundException,4,0,0,0,2,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.lockout.exception,GlobalLockoutExceptionHandler,23,0,0,0,6,0,4,0,4,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.gis.point.service,PointObjectService,506,0,34,0,118,0,36,0,19,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.seeder,DataSeeder,835,0,24,0,166,0,24,0,12,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.gis.controller,ChartController,129,0,6,0,32,0,12,0,9,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.orgunit.controller,OrgUnitController,58,0,2,0,15,0,7,0,6,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.gis.line.controller,LineObjectController,98,0,0,0,18,0,11,0,11,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.dataconnection.entity,SyncLog,45,0,2,0,14,0,4,0,3,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.dataconnection.entity,DataConnection,3,0,0,0,1,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.dataconnection.entity,ConnectionHealth,23,0,0,0,7,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.dataconnection.entity,SyncLog.SyncStatus,33,0,0,0,6,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.config,CacheConfig,27,0,0,0,6,0,2,0,2,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.config,SecurityConfig,231,0,6,0,45,0,13,0,10,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.config,WebConfig,19,0,0,0,6,0,2,0,2,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.config,NoOpRedisConnectionFactory,29,0,0,0,9,0,8,0,8,0
